week,channel,device,region,sessions,orders,revenue,cost,returns,conversion_rate,gross_margin_pct,notes
2026-W11,Email,All,National,18200,728,87360,55900,22,4.0,36.0,stable baseline
2026-W11,Direct,All,National,16100,564,73320,43000,18,3.5,41.3,stable baseline
2026-W11,Paid Search,Desktop,National,26200,655,85150,58700,26,2.5,30.8,brand-heavy mix
2026-W11,Paid Search,Mobile,National,20600,474,61620,44600,24,2.3,27.6,stable baseline
2026-W11,Paid Social,Mobile,South,22600,610,73200,56600,36,2.7,22.1,stable baseline
2026-W11,Paid Social,Desktop,National,15200,395,47400,35600,17,2.6,24.9,stable baseline
2026-W11,Organic Search,All,National,22100,663,82875,43100,28,3.0,48.0,stable baseline
2026-W11,Referral,All,National,9800,255,30600,18300,11,2.6,40.2,stable baseline
2026-W11,Display,Mobile,East,9200,166,19920,18800,14,1.8,13.2,small prospecting spend
2026-W11,Affiliate,All,National,8100,243,31590,18100,9,3.0,42.7,stable baseline
2026-W12,Email,All,National,18600,744,89280,57100,21,4.0,36.1,steady improvement
2026-W12,Direct,All,National,16300,571,74230,43400,18,3.5,41.6,stable
2026-W12,Paid Search,Desktop,National,26400,658,85540,59300,27,2.5,30.2,cost pressure starting
2026-W12,Paid Search,Mobile,National,21200,488,63440,45700,25,2.3,27.1,cost pressure starting
2026-W12,Paid Social,Mobile,South,22900,614,73680,57500,39,2.7,21.9,returns slightly higher
2026-W12,Paid Social,Desktop,National,15400,400,48000,36100,17,2.6,24.8,stable
2026-W12,Organic Search,All,National,22350,670,83750,43600,27,3.0,47.9,stable
2026-W12,Referral,All,National,10100,261,31320,18700,11,2.6,40.3,stable
2026-W12,Display,Mobile,East,10800,173,20760,21200,16,1.6,10.5,prospecting spend increased
2026-W12,Affiliate,All,National,8220,250,32500,18500,9,3.0,43.1,modest improvement
2026-W13,Email,All,National,19100,764,91680,58500,23,4.0,36.2,steady improvement
2026-W13,Direct,All,National,16500,578,75140,43900,18,3.5,41.6,stable
2026-W13,Paid Search,Desktop,National,26600,660,85800,60000,28,2.5,29.6,cost pressure continuing
2026-W13,Paid Search,Mobile,National,22100,486,63180,47100,28,2.2,25.5,mobile CPC jump
2026-W13,Paid Social,Mobile,South,23400,608,72960,58400,48,2.6,19.9,returns rising and conversion softening
2026-W13,Paid Social,Desktop,National,15600,401,48120,36600,18,2.6,23.9,slight softening
2026-W13,Organic Search,All,National,22600,678,84750,44100,28,3.0,47.8,stable
2026-W13,Referral,All,National,10300,267,32040,19100,12,2.6,40.4,stable
2026-W13,Display,Mobile,East,18100,235,28200,30100,24,1.3,6.7,prospecting burst week 1
2026-W13,Affiliate,All,National,8360,259,33670,19100,10,3.1,43.3,modest improvement
2026-W14,Email,All,National,19600,784,94080,60000,24,4.0,36.2,still strong
2026-W14,Direct,All,National,16750,586,76180,44400,18,3.5,41.7,stable
2026-W14,Paid Search,Desktop,National,26900,662,86060,60800,28,2.5,29.0,cost pressure continuing
2026-W14,Paid Search,Mobile,National,23200,476,61880,48300,31,2.1,24.0,cost up and conversion slipping
2026-W14,Paid Social,Mobile,South,24000,575,69000,57900,63,2.4,17.4,returns spike emerging
2026-W14,Paid Social,Desktop,National,15800,398,47760,36900,19,2.5,23.1,softening
2026-W14,Organic Search,All,National,22900,684,85500,44600,29,3.0,47.5,stable
2026-W14,Referral,All,National,14600,344,41280,24100,18,2.4,35.8,partner directory placement spike
2026-W14,Display,Mobile,East,17600,229,27480,29700,23,1.3,6.9,prospecting burst week 2
2026-W14,Affiliate,All,National,8490,267,34710,19600,10,3.1,43.5,stable
2026-W15,Email,All,National,20200,828,99360,63300,24,4.1,36.3,still strong
2026-W15,Direct,All,National,17000,595,77350,45000,19,3.5,41.8,stable
2026-W15,Paid Search,Desktop,National,27200,659,85670,61500,29,2.4,28.5,cost pressure continuing
2026-W15,Paid Search,Mobile,National,24000,456,59280,49200,36,1.9,22.9,cost pressure and weaker traffic quality
2026-W15,Paid Social,Mobile,South,24600,468,56160,49400,84,1.9,15.8,conversion and returns worsening
2026-W15,Paid Social,Desktop,National,16000,390,46800,37200,21,2.4,22.5,softening
2026-W15,Organic Search,All,National,23150,689,86125,45100,30,3.0,47.2,stable
2026-W15,Referral,All,National,10600,271,32520,19500,13,2.6,40.0,partner spike normalized
2026-W15,Display,Mobile,East,11100,149,17880,19800,18,1.3,8.1,spend normalized but still weak
2026-W15,Affiliate,All,National,8620,276,35880,20200,11,3.2,43.7,stable
2026-W16,Email,All,National,20800,853,102360,65100,25,4.1,36.4,still strong
2026-W16,Direct,All,National,17200,602,78260,45500,19,3.5,41.9,stable
2026-W16,Paid Search,Desktop,National,27500,648,84240,62100,29,2.4,27.8,desktop still under cost pressure
2026-W16,Paid Search,Mobile,National,24800,446,57980,50100,38,1.8,22.0,mobile CPC still elevated and conversion soft
2026-W16,Paid Social,Mobile,South,25100,392,47040,40600,92,1.6,14.1,sharp drop in conversion and heavy returns
2026-W16,Paid Social,Desktop,National,16200,381,45720,37600,22,2.4,21.6,softening continues
2026-W16,Organic Search,All,National,23350,692,86500,,31,3.0,,cost import missing after analytics migration
2026-W16,Referral,All,National,10800,274,32880,,13,2.5,,cost import missing after analytics migration
2026-W16,Display,Mobile,East,10900,148,17760,19700,18,1.4,8.3,prospecting spend normalized
2026-W16,Affiliate,All,National,8780,282,36660,20600,11,3.2,43.8,stable
